target_id	length	eff_length	est_counts	tpm
lpl2_a_DN3710_c0_g1_i4	588	389.81	1	4.00143
lpl2_a_DN3710_c0_g3_i1	506	312.749	0	0
lpl2_a_DN3775_c0_g1_i1	902	698.586	0	0
lpl2_a_DN3775_c0_g2_i1	618	418.257	1	3.72928
lpl2_a_DN3775_c0_g2_i2	1586	1382.4	2	2.25665
lpl2_a_DN3759_c0_g1_i1	2864	2660.4	1	0.586302
lpl2_a_DN3752_c0_g1_i1	679	477.474	0	0
lpl2_a_DN3767_c0_g1_i1	1973	1769.4	5	4.4077
lpl2_a_DN3763_c0_g1_i1	1168	964.398	0	0
lpl2_a_DN3787_c0_g1_i1	1500	1296.4	1	1.20318
lpl2_a_DN3793_c0_g1_i1	1162	958.398	1	1.6275
lpl2_a_DN3799_c0_g1_i2	659	457.98	0	0
lpl2_a_DN3798_c0_g2_i2	2677	2473.4	2	1.26126
lpl2_a_DN3780_c0_g1_i1	533	337.646	0	0
lpl2_a_DN3780_c0_g2_i1	719	516.937	0	0
lpl2_a_DN3796_c0_g1_i1	970	766.527	0	0
lpl2_a_DN3736_c0_g1_i1	519	324.882	0	0
lpl2_a_DN3772_c0_g1_i1	1250	1046.4	1	1.49063
lpl2_a_DN3781_c0_g1_i1	1387	1183.4	0	0
lpl2_a_DN3797_c1_g1_i1	981	777.462	2	4.01253
lpl2_a_DN3779_c0_g1_i1	537	341.445	0	0
lpl2_a_DN3747_c1_g1_i1	755	552.357	0	0
lpl2_a_DN3741_c1_g1_i1	857	653.586	0	0
lpl2_a_DN3782_c0_g1_i1	1141	937.398	0	0
lpl2_a_DN3776_c0_g1_i1	1081	877.398	1	1.77775
lpl2_a_DN3771_c0_g2_i1	985	781.398	0	0
lpl2_a_DN3742_c0_g1_i3	3914	3710.4	3	1.26116
lpl2_a_DN3791_c0_g1_i1	606	406.841	0	0
lpl2_a_DN3762_c0_g1_i1	1170	966.398	0	0
lpl2_a_DN3762_c0_g2_i1	573	375.355	0	0
lpl2_a_DN5_c0_g1_i2	14055	13851.4	162.791	18.3318
lpl2_a_DN89_c0_g1_i3	1909	1705.4	9	8.23161
lpl2_a_DN89_c0_g2_i1	1124	920.398	2	3.3894
lpl2_a_DN37_c0_g1_i1	7387	7183.4	23.4931	5.10127
lpl2_a_DN75_c0_g1_i3	1818	1614.4	2	1.93236
lpl2_a_DN75_c0_g2_i1	1471	1267.4	1.42078	1.74857
lpl2_a_DN96_c0_g1_i10	6907	6703.4	5.58971	1.30066
lpl2_a_DN96_c0_g1_i3	6952	6748.4	7.41029	1.71278
lpl2_a_DN96_c0_g2_i1	6437	6233.4	6	1.50139
lpl2_a_DN96_c0_g3_i1	947	743.527	0	0
lpl2_a_DN8_c0_g1_i1	1662	1458.4	4	4.27811
lpl2_a_DN85_c0_g2_i1	2778	2574.4	2.61637	1.58523
lpl2_a_DN93_c0_g1_i2	3590	3386.4	5	2.30303
lpl2_a_DN93_c0_g2_i1	789	585.791	2	5.32544
lpl2_a_DN10_c0_g1_i6	2288	2084.4	164	122.724
lpl2_a_DN52_c0_g1_i1	745	542.494	2	5.75047
lpl2_a_DN52_c0_g2_i1	635	434.726	2	7.17601
lpl2_a_DN22_c0_g1_i32	703	501.148	36.2714	112.893
lpl2_a_DN86_c0_g1_i1	15392	15188.4	28	2.8755
lpl2_a_DN47_c0_g1_i3	1024	820.398	3	5.70381
lpl2_a_DN55_c0_g1_i1	1469	1265.4	0	0
lpl2_a_DN55_c0_g2_i2	2679	2475.4	2	1.26024
lpl2_a_DN38_c0_g1_i2	2502	2298.4	0	0
lpl2_a_DN38_c0_g1_i4	2569	2365.4	6	3.95654
lpl2_a_DN51_c0_g1_i9	3183	2979.4	5	2.61764
lpl2_a_DN68_c0_g1_i1	1272	1068.4	1	1.45994
lpl2_a_DN68_c0_g2_i1	559	362.258	0	0
lpl2_a_DN44_c0_g1_i7	3132	2928.4	10189.7	5427.5
lpl2_a_DN18_c0_g1_i8	6303	6099.4	89.4462	22.8741
lpl2_a_DN46_c0_g1_i1	945	741.527	1	2.10349
lpl2_a_DN46_c0_g4_i1	2470	2266.4	1	0.688227
lpl2_a_DN2_c0_g1_i2	2818	2614.4	12	7.15942
lpl2_a_DN94_c0_g2_i1	2961	2757.4	6	3.39406
lpl2_a_DN94_c0_g3_i1	850	646.586	1	2.41236
lpl2_a_DN36_c0_g1_i1	2156	1952.4	5	3.99457
lpl2_a_DN36_c0_g2_i1	3414	3210.4	5	2.42929
lpl2_a_DN26_c0_g1_i1	2852	2648.4	1	0.588959
lpl2_a_DN26_c0_g2_i1	2924	2720.4	1.08711	0.623319
lpl2_a_DN14_c0_g1_i28	1661	1457.4	39.4147	42.184
lpl2_a_DN14_c2_g1_i1	1535	1331.4	10.0481	11.7719
lpl2_a_DN7_c0_g1_i3	1170	966.398	62.9484	101.601
lpl2_a_DN87_c0_g1_i2	2020	1816.4	0	0
