"","genes","cluster"
"lpl2_a_DN1755_c0_g1_i2","lpl2_a_DN1755_c0_g1_i2",1
"lpl2_a_DN5925_c1_g1_i1","lpl2_a_DN5925_c1_g1_i1",1
"lpl2_a_DN1306_c0_g2_i1","lpl2_a_DN1306_c0_g2_i1",1
"lpl2_a_DN15051_c0_g1_i1","lpl2_a_DN15051_c0_g1_i1",1
"lpl2_a_DN17437_c0_g1_i1","lpl2_a_DN17437_c0_g1_i1",1
"lpl2_a_DN17457_c0_g1_i1","lpl2_a_DN17457_c0_g1_i1",1
"lpl2_a_DN17563_c0_g1_i1","lpl2_a_DN17563_c0_g1_i1",1
"lpl2_a_DN2107_c0_g2_i5","lpl2_a_DN2107_c0_g2_i5",1
"lpl2_a_DN2107_c0_g3_i1","lpl2_a_DN2107_c0_g3_i1",1
"lpl2_a_DN7485_c0_g1_i2","lpl2_a_DN7485_c0_g1_i2",1
"lpl2_a_DN878_c0_g2_i2","lpl2_a_DN878_c0_g2_i2",1
"lpl2_a_DN896_c0_g1_i2","lpl2_a_DN896_c0_g1_i2",1
"lpl2_a_DN839_c0_g1_i1","lpl2_a_DN839_c0_g1_i1",1
"lpl2_a_DN827_c0_g1_i2","lpl2_a_DN827_c0_g1_i2",1
"lpl2_a_DN887_c0_g1_i3","lpl2_a_DN887_c0_g1_i3",1
"lpl2_a_DN884_c0_g1_i1","lpl2_a_DN884_c0_g1_i1",1
"lpl2_a_DN19959_c0_g1_i1","lpl2_a_DN19959_c0_g1_i1",1
"lpl2_a_DN1631_c0_g1_i3","lpl2_a_DN1631_c0_g1_i3",1
"lpl2_a_DN4490_c0_g2_i1","lpl2_a_DN4490_c0_g2_i1",1
"lpl2_a_DN2310_c0_g1_i6","lpl2_a_DN2310_c0_g1_i6",1
"lpl2_a_DN21927_c0_g1_i1","lpl2_a_DN21927_c0_g1_i1",1
"lpl2_a_DN596_c0_g1_i3","lpl2_a_DN596_c0_g1_i3",1
"lpl2_a_DN509_c0_g2_i1","lpl2_a_DN509_c0_g2_i1",1
"lpl2_a_DN554_c0_g1_i1","lpl2_a_DN554_c0_g1_i1",1
"lpl2_a_DN553_c0_g1_i13","lpl2_a_DN553_c0_g1_i13",1
"lpl2_a_DN2620_c0_g1_i1","lpl2_a_DN2620_c0_g1_i1",1
"lpl2_a_DN2620_c0_g1_i2","lpl2_a_DN2620_c0_g1_i2",1
"lpl2_a_DN11472_c0_g1_i1","lpl2_a_DN11472_c0_g1_i1",1
"lpl2_a_DN2484_c0_g1_i1","lpl2_a_DN2484_c0_g1_i1",1
"lpl2_a_DN2487_c0_g2_i1","lpl2_a_DN2487_c0_g2_i1",1
"lpl2_a_DN6898_c0_g2_i1","lpl2_a_DN6898_c0_g2_i1",1
"lpl2_a_DN1012_c0_g1_i1","lpl2_a_DN1012_c0_g1_i1",1
"lpl2_a_DN1037_c1_g1_i7","lpl2_a_DN1037_c1_g1_i7",1
"lpl2_a_DN1085_c0_g1_i3","lpl2_a_DN1085_c0_g1_i3",1
"lpl2_a_DN1029_c0_g1_i1","lpl2_a_DN1029_c0_g1_i1",1
"lpl2_a_DN14884_c0_g1_i1","lpl2_a_DN14884_c0_g1_i1",1
"lpl2_a_DN378_c0_g1_i5","lpl2_a_DN378_c0_g1_i5",1
"lpl2_a_DN397_c0_g1_i1","lpl2_a_DN397_c0_g1_i1",1
"lpl2_a_DN397_c0_g2_i1","lpl2_a_DN397_c0_g2_i1",1
"lpl2_a_DN397_c0_g4_i3","lpl2_a_DN397_c0_g4_i3",1
"lpl2_a_DN391_c0_g3_i1","lpl2_a_DN391_c0_g3_i1",1
"lpl2_a_DN339_c0_g1_i4","lpl2_a_DN339_c0_g1_i4",1
"lpl2_a_DN334_c0_g1_i3","lpl2_a_DN334_c0_g1_i3",1
"lpl2_a_DN338_c0_g1_i2","lpl2_a_DN338_c0_g1_i2",1
"lpl2_a_DN352_c0_g1_i1","lpl2_a_DN352_c0_g1_i1",1
"lpl2_a_DN348_c0_g1_i3","lpl2_a_DN348_c0_g1_i3",1
"lpl2_a_DN370_c0_g1_i2","lpl2_a_DN370_c0_g1_i2",1
